LogonData,LogonHora,LogoffData,LogoffHora,Usuario
2024-06-21,07:20:24,2024-06-21,15:23:30,E012U009
2024-06-21,14:35:51,2024-06-21,15:22:10,E012U006
2024-06-21,15:15:28,2024-06-21,15:17:35,E016U001
2024-06-21,15:24:17,2024-06-21,15:33:48,E012U009
2024-06-21,16:04:47,2024-06-21,18:12:41,E012U002
2024-06-21,16:04:48,2024-06-21,16:53:37,E012U004
2024-06-21,16:04:54,2024-06-21,17:34:33,E012U003
2024-06-21,16:08:56,2024-06-21,16:28:04,E012U008
2024-06-21,16:39:29,2024-06-21,16:41:19,E012U008
2024-06-21,16:39:29,2024-06-21,16:57:52,E012U008
2024-06-21,16:56:48,2024-06-21,18:46:09,E011U001
2024-06-21,16:57:51,2024-06-21,17:05:41,E026U001
2024-06-21,17:06:36,2024-06-21,17:08:26,E012U008
2024-06-21,17:08:04,2024-06-21,19:58:07,E015U001
2024-06-21,17:40:33,2024-06-21,17:42:27,E012U008
2024-06-21,18:34:44,2024-06-21,18:36:30,E012U008
2024-06-21,18:43:43,2024-06-21,18:45:34,E012U008
2024-06-21,19:46:56,2024-06-21,19:48:50,E012U008
2024-06-21,19:57:10,2024-06-21,19:59:23,E012U008
2024-06-21,20:42:39,2024-06-21,20:44:29,E012U008
2024-06-21,21:36:54,2024-06-21,21:38:40,E012U008
2024-06-21,22:31:02,2024-06-21,22:32:52,E012U008
2024-06-21,23:20:56,2024-06-21,23:22:46,E012U008
2024-06-22,00:15:09,2024-06-22,00:16:57,E012U008
2024-06-22,00:15:54,2024-06-22,00:22:52,E015U001
2024-06-22,01:09:20,2024-06-22,01:11:08,E012U008
2024-06-22,01:54:32,2024-06-22,01:56:23,E012U008
2024-06-22,02:39:44,2024-06-22,02:41:37,E012U008
2024-06-22,02:48:40,2024-06-22,02:50:34,E012U008
2024-06-22,02:57:41,2024-06-22,02:59:31,E012U008
2024-06-22,03:49:59,2024-06-22,06:43:22,E015U001
2024-06-22,03:52:13,2024-06-22,03:54:06,E012U008
2024-06-22,04:12:06,2024-06-22,10:30:39,E019U002
2024-06-22,04:37:29,2024-06-22,04:39:20,E012U008
2024-06-22,05:40:40,2024-06-22,05:42:28,E012U008
2024-06-22,06:43:53,2024-06-22,06:45:44,E012U008
2024-06-22,07:03:16,2024-06-22,07:05:05,E012U008
2024-06-22,07:07:01,2024-06-22,10:39:08,E015U001
2024-06-22,07:12:06,2024-06-22,07:14:10,E012U008
2024-06-22,08:10:46,2024-06-22,08:12:37,E012U008
2024-06-22,08:16:10,2024-06-22,12:48:07,E012U002
